"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4430553,"1316 Hartford Ave","St. Paul","MN",55116,225000,3,"1,75","Highland",1252,4791,1925,2,"Garage",65,6/6/2008,"Y","Edina Realty, Inc.","44,923096","-93,155838","N"
4439395,"1316 Palace Ave","St. Paul","MN",55105,279900,3,"1,75","Macalester-Groveland",1400,4791,1929,2,"Garage",12,,"N","Edina Realty, Inc.","44,928528","-93,155869","N"
4432559,"1318 Washington St NE","Minneapolis","MN",55413,119000,2,1,"Sheridan",644,5662,1900,2,"Garage",57,,"N","Better Homes and Gardens Real Estate-All Seasons","45,001488","-93,257919","N"
4427898,"1323 Edmund Ave","St. Paul","MN",55104,129900,3,"1,5","Hamline-Midway",1008,4791,1900,2,"Garage",77,31/12/2012,"Y","Twin Cities Real Estate","44,958683","-93,156013","N"
4430670,"1326 Eleanor Ave","St. Paul","MN",55116,324900,4,"3,5","Highland",2908,4791,2004,2,"Garage",65,,"N","Edina Realty, Inc.","44,920376","-93,156189","N"
4424151,"1327 Eleanor Ave","St. Paul","MN",55116,499000,3,"2,5","Highland",1820,4791,2013,2,"Garage",92,11/12/2013,"Y","RE/MAX Results","44,920879","-93,156189","N"
4430558,"1336 Scheffer Ave","St. Paul","MN",55116,289900,3,"1,75","Highland",1604,4791,1925,2,"Garage",65,,"N","Edina Realty, Inc.","44,92128","-93,156647","N"
4425546,"1343 Thomas Ave","St. Paul","MN",55104,159900,4,1,"Hamline-Midway",1740,4791,1889,2,"Garage",86,,"N","Realty Direct REO, LLC","44,959591","-93,157021","N"
4436458,"1349 6th St E","St. Paul","MN",55106,144850,4,1,"Dayton's Bluff",1498,4791,1952,1,"Garage",33,31/1/2013,"Y","Keller Williams Integrity RE","44,96067","-93,043449","N"
4424954,"1356 Clarence St","St. Paul","MN",55106,182500,4,"1,5","Greater East Side",2288,9583,1958,4,"Garage",89,20/12/2012,"Y","RE/MAX Advantage Plus","44,982147","-93,042671","N"
4437820,"1356 Jessie St","St. Paul","MN",55130,162900,4,"1,75","Payne-Phalen",1677,6098,1963,1,"Garage",19,10/6/2013,"Y","Keller Williams Classic Realty NW","44,982059","-93,077019","N"
4424069,"1359 Case Ave","St. Paul","MN",55106,58895,4,1,"Greater East Side",1589,15245,1914,2,"Garage",92,,"N","RE/MAX Advantage Plus","44,969845","-93,042847","N"
4412144,"136 Granite St","St. Paul","MN",55117,40000,4,1,"North End/South Como",1720,3920,1890,1,"Garage",119,,"N","RE/MAX Results","44,965683","-93,094833","Y"
4423888,"1360 Kent St","St. Paul","MN",55117,179900,4,2,"North End/South Como",3123,4791,1961,2,"Garage",93,,"N","DeLisle Company, Inc.","44,98222","-93,12336","N"
4437186,"1361 Saint Clair Ave","St. Paul","MN",55105,195000,3,1,"Macalester-Groveland",1585,5227,1914,2,"Garage",23,19/2/2009,"Y","Dunn and Brennan Realty","44,934498","-93,157745","N"
4414604,"1371 Margaret St","St. Paul","MN",55106,119000,3,"1,5","Dayton's Bluff",1412,6969,1922,2,"Garage",119,,"N","Lakes Area Realty G.V.","44,961594","-93,042603","N"
4441140,"1374 Palace Ave","St. Paul","MN",55105,199900,3,"1,5","Macalester-Groveland",1270,4791,1917,4,"Garage",5,13/8/2012,"Y","BuySelf, Inc","44,928535","-93,15831","N"
4434612,"1383 5th St E","St. Paul","MN",55106,159900,3,"2,5","Dayton's Bluff",1996,3484,2000,2,"Garage",43,,"N","RE/MAX Results","44,959732","-93,042038","N"
4434600,"1388 Grotto St N","St. Paul","MN",55117,239900,4,2,"Como",2294,8276,1915,6,"Garage",43,,"N","Century 21 Premier Group","44,982903","-93,130943","N"
4437449,"1390 White Bear Ave N","St. Paul","MN",55106,124900,3,1,"Greater East Side",1238,4791,1925,1,"Garage",20,12/10/2012,"Y","Edina Realty, Inc.","44,983269","-93,024872","N"
4440655,"1395 Jefferson Ave","St. Paul","MN",55105,179000,3,1,"Macalester-Groveland",1012,3484,1957,1,"Garage",6,,"N","Coldwell Banker Burnet","44,930885","-93,159065","N"
